time,speed, speed2, speed3,accel
0,3.7,13.9,51.8,3.7
1,11.8,139.4,1645.6,8.1
2,13.7,186.9,2554.6,1.9
3,17.4,302.7,5266.6,3.7
4,21.7,473,10286.3,4.3
5,23.6,557.5,13164.5,1.9
6,24.9,617.8,15354.4,1.2
7,25.5,649,16535,0.6
8,26.1,681.1,17774.7,0.6
9,27.3,747.5,20436.7,1.2
10,27.3,747.5,20436.7,0
11,23,528.6,12152.3,-4.3
12,22.4,500.4,11193.4,-0.6
13,19.9,395.4,7861.5,-2.5
14,18,324.7,5851.2,-1.9
15,16.8,281.5,4722.2,-1.2
16,16.8,281.5,4722.2,0
17,16.2,261,4216.7,-0.6
18,16.8,281.5,4722.2,0.6
19,19.9,395.4,7861.5,3.1
20,18.6,347.5,6477.6,-1.2
21,21.1,446.3,9429.5,2.5
22,20.5,420.5,8621.7,-0.6
23,21.7,473,10286.3,1.2
24,21.7,473,10286.3,0
25,21.1,446.3,9429.5,-0.6
26,23,528.6,12152.3,1.9
27,26.1,681.1,17774.7,3.1
28,27.3,747.5,20436.7,1.2
29,28.6,817,23352.1,1.2
30,29.2,852.9,24908.5,0.6
31,29.8,889.6,26532.4,0.6
32,30.4,927,28225.5,0.6
33,31.1,965.3,29989.1,0.6
34,31.1,965.3,29989.1,0
35,31.1,965.3,29989.1,0
36,31.1,965.3,29989.1,0
37,31.1,965.3,29989.1,0
38,31.1,965.3,29989.1,0
39,31.1,965.3,29989.1,0
40,30.4,927,28225.5,-0.6
41,29.8,889.6,26532.4,-0.6
42,28.6,817,23352.1,-1.2
43,27.3,747.5,20436.7,-1.2
44,25.5,649,16535,-1.9
45,19.3,371,7147.2,-6.2
46,13.7,186.9,2554.6,-5.6
47,12.4,154.4,1919.3,-1.2
48,6.2,38.6,239.9,-6.2
49,0.6,0.4,0.2,-5.6
50,0,0,0,-0.6
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,1.9,3.5,6.5,1.9
84,9.9,98.8,982.7,8.1
85,14.9,222.4,3316.6,5
86,19.3,371,7147.2,4.3
87,24.2,587.3,14231.4,5
88,27.3,747.5,20436.7,3.1
89,30.4,927,28225.5,3.1
90,30.4,927,28225.5,0
91,29.8,889.6,26532.4,-0.6
92,29.2,852.9,24908.5,-0.6
93,25.5,649,16535,-3.7
94,23,528.6,12152.3,-2.5
95,20.5,420.5,8621.7,-2.5
96,18.6,347.5,6477.6,-1.9
97,18,324.7,5851.2,-0.6
98,17.4,302.7,5266.6,-0.6
99,16.8,281.5,4722.2,-0.6
100,16.8,281.5,4722.2,0
101,15.5,241.3,3748.6,-1.2
102,14.9,222.4,3316.6,-0.6
103,14.9,222.4,3316.6,0
104,14.9,222.4,3316.6,0
105,16.2,261,4216.7,1.2
106,17.4,302.7,5266.6,1.2
107,16.8,281.5,4722.2,-0.6
108,16.8,281.5,4722.2,0
109,18,324.7,5851.2,1.2
110,18,324.7,5851.2,0
111,16.8,281.5,4722.2,-1.2
112,17.4,302.7,5266.6,0.6
113,18.6,347.5,6477.6,1.2
114,17.4,302.7,5266.6,-1.2
115,18,324.7,5851.2,0.6
116,17.4,302.7,5266.6,-0.6
117,16.8,281.5,4722.2,-0.6
118,16.8,281.5,4722.2,0
119,16.2,261,4216.7,-0.6
120,16.8,281.5,4722.2,0.6
121,17.4,302.7,5266.6,0.6
122,17.4,302.7,5266.6,0
123,17.4,302.7,5266.6,0
124,18,324.7,5851.2,0.6
125,18,324.7,5851.2,0
126,18,324.7,5851.2,0
127,17.4,302.7,5266.6,-0.6
128,19.3,371,7147.2,1.9
129,23,528.6,12152.3,3.7
130,27.3,747.5,20436.7,4.3
131,29.2,852.9,24908.5,1.9
132,30.4,927,28225.5,1.2
133,30.4,927,28225.5,0
134,29.8,889.6,26532.4,-0.6
135,29.2,852.9,24908.5,-0.6
136,28.6,817,23352.1,-0.6
137,26.7,713.9,19074.7,-1.9
138,25.5,649,16535,-1.2
139,24.2,587.3,14231.4,-1.2
140,21.7,473,10286.3,-2.5
141,21.1,446.3,9429.5,-0.6
142,19.9,395.4,7861.5,-1.2
143,19.9,395.4,7861.5,0
144,21.1,446.3,9429.5,1.2
145,22.4,500.4,11193.4,1.2
146,23,528.6,12152.3,0.6
147,24.9,617.8,15354.4,1.9
148,25.5,649,16535,0.6
149,25.5,649,16535,0
150,25.5,649,16535,0
151,24.9,617.8,15354.4,-0.6
152,23.6,557.5,13164.5,-1.2
153,23,528.6,12152.3,-0.6
154,23.6,557.5,13164.5,0.6
155,22.4,500.4,11193.4,-1.2
156,21.1,446.3,9429.5,-1.2
157,18,324.7,5851.2,-3.1
158,15.5,241.3,3748.6,-2.5
159,12.4,154.4,1919.3,-3.1
160,9.3,86.9,809.7,-3.1
161,8.1,65.3,527.1,-1.2
162,5.6,31.3,174.9,-2.5
163,3.1,9.7,30,-2.5
164,0,0,0,-3.1
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,1.9,3.5,6.5,1.9
173,6.8,46.7,319.3,5
174,9.3,86.9,809.7,2.5
175,13,170.3,2221.8,3.7
176,15.5,241.3,3748.6,2.5
177,18,324.7,5851.2,2.5
178,21.7,473,10286.3,3.7
179,22.4,500.4,11193.4,0.6
180,23.6,557.5,13164.5,1.2
181,24.2,587.3,14231.4,0.6
182,24.2,587.3,14231.4,0
183,24.2,587.3,14231.4,0
184,24.2,587.3,14231.4,0
185,24.2,587.3,14231.4,0
186,22.4,500.4,11193.4,-1.9
187,20.5,420.5,8621.7,-1.9
188,19.9,395.4,7861.5,-0.6
189,17.4,302.7,5266.6,-2.5
190,16.2,261,4216.7,-1.2
191,16.2,261,4216.7,0
192,14.9,222.4,3316.6,-1.2
193,16.2,261,4216.7,1.2
194,16.8,281.5,4722.2,0.6
195,18.6,347.5,6477.6,1.9
196,19.3,371,7147.2,0.6
197,20.5,420.5,8621.7,1.2
198,23,528.6,12152.3,2.5
199,23.6,557.5,13164.5,0.6
200,26.7,713.9,19074.7,3.1
201,27.3,747.5,20436.7,0.6
202,28,781.9,21862.1,0.6
203,29.2,852.9,24908.5,1.2
