time,speed, speed2, speed3,accel
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,1.2,1.5,1.9,1.2
38,1.9,3.5,6.5,0.6
39,4.3,18.9,82.3,2.5
40,5.6,31.3,174.9,1.2
41,6.2,38.6,239.9,0.6
42,8.7,75.7,658.3,2.5
43,11.2,125.1,1399.2,2.5
44,12.4,154.4,1919.3,1.2
45,13.7,186.9,2554.6,1.2
46,14.9,222.4,3316.6,1.2
47,14.9,222.4,3316.6,0.0
48,13.7,186.9,2554.6,-1.2
49,11.8,139.4,1645.6,-1.9
50,8.1,65.3,527.1,-3.7
51,4.3,18.9,82.3,-3.7
52,3.7,13.9,51.8,-0.6
53,3.1,9.7,30.0,-0.6
54,3.1,9.7,30.0,0.0
55,3.1,9.7,30.0,0.0
56,3.7,13.9,51.8,0.6
57,5.6,31.3,174.9,1.9
58,7.5,55.6,414.6,1.9
59,10.6,111.6,1178.7,3.1
60,13.7,186.9,2554.6,3.1
61,16.2,261.0,4216.7,2.5
62,19.3,371.0,7147.2,3.1
63,21.7,473.0,10286.3,2.5
64,23.6,557.5,13164.5,1.9
65,26.1,681.1,17774.7,2.5
66,26.7,713.9,19074.7,0.6
67,26.7,713.9,19074.7,0.0
68,26.7,713.9,19074.7,0.0
69,27.3,747.5,20436.7,0.6
70,28.0,781.9,21862.1,0.6
71,28.6,817.0,23352.1,0.6
72,29.2,852.9,24908.5,0.6
73,29.2,852.9,24908.5,0.0
74,29.2,852.9,24908.5,0.0
75,27.3,747.5,20436.7,-1.9
