time,speed, speed2, speed3,accel
0,0.6,0.4,0.2,0.6
1,1.9,3.5,6.5,1.2
2,3.1,9.7,30,1.2
3,4.3,18.9,82.3,1.2
4,12.4,154.4,1919.3,8.1
5,14.9,222.4,3316.6,2.5
6,15.5,241.3,3748.6,0.6
7,16.8,281.5,4722.2,1.2
8,17.4,302.7,5266.6,0.6
9,18.6,347.5,6477.6,1.2
10,20.5,420.5,8621.7,1.9
11,23.6,557.5,13164.5,3.1
12,23.6,557.5,13164.5,0
13,26.1,681.1,17774.7,2.5
14,26.1,681.1,17774.7,0
15,26.1,681.1,17774.7,0
16,25.5,649,16535,-0.6
17,25.5,649,16535,0
18,26.1,681.1,17774.7,0.6
19,27.3,747.5,20436.7,1.2
20,29.2,852.9,24908.5,1.9
21,31.1,965.3,29989.1,1.9
22,32.9,1084.6,35717.5,1.9
23,34.8,1210.8,42132.5,1.9
24,35.4,1254.4,44430.2,0.6
25,36,1298.8,46809.9,0.6
26,36.7,1344,49273,0.6
27,36.7,1344,49273,0
28,36,1298.8,46809.9,-0.6
29,36,1298.8,46809.9,0
30,35.4,1254.4,44430.2,-0.6
31,36,1298.8,46809.9,0.6
32,36,1298.8,46809.9,0
33,36.7,1344,49273,0.6
34,36,1298.8,46809.9,-0.6
35,36,1298.8,46809.9,0
36,35.4,1254.4,44430.2,-0.6
37,35.4,1254.4,44430.2,0
38,34.8,1210.8,42132.5,-0.6
39,34.8,1210.8,42132.5,0
40,35.4,1254.4,44430.2,0.6
41,36.7,1344,49273,1.2
42,35.4,1254.4,44430.2,-1.2
43,35.4,1254.4,44430.2,0
44,34.2,1168,39915.5,-1.2
45,32.3,1044,33733.7,-1.9
46,31.1,965.3,29989.1,-1.2
47,30.4,927,28225.5,-0.6
48,29.8,889.6,26532.4,-0.6
49,29.8,889.6,26532.4,0
50,29.8,889.6,26532.4,0
51,30.4,927,28225.5,0.6
52,31.7,1004.3,31824.7,1.2
53,32.3,1044,33733.7,0.6
54,32.3,1044,33733.7,0
55,32.3,1044,33733.7,0
56,32.3,1044,33733.7,0
57,32.9,1084.6,35717.5,0.6
58,33.6,1125.9,37777.6,0.6
59,34.8,1210.8,42132.5,1.2
60,36,1298.8,46809.9,1.2
61,37.9,1436.7,54455.6,1.9
62,38.5,1484.2,57177.9,0.6
63,38.5,1484.2,57177.9,0
64,38.5,1484.2,57177.9,0
65,37.9,1436.7,54455.6,-0.6
66,37.3,1390,51821.2,-0.6
67,36.7,1344,49273,-0.6
68,36.7,1344,49273,0
69,36.7,1344,49273,0
70,37.9,1436.7,54455.6,1.2
71,39.1,1532.4,59989.5,1.2
72,40.4,1631.3,65886,1.2
73,40.4,1631.3,65886,0
74,41,1681.9,68974,0.6
75,42.3,1785.3,75436.2,1.2
76,43.5,1891.9,82290.1,1.2
77,44.7,2001.6,89547,1.2
78,45.4,2057.5,93330.1,0.6
79,46.6,2171.8,101213.2,1.2
80,46.6,2171.8,101213.2,0
81,46.6,2171.8,101213.2,0
82,46.6,2171.8,101213.2,0
83,46.6,2171.8,101213.2,0
84,46.6,2171.8,101213.2,0
85,47.2,2230.1,105315.9,0.6
86,47.2,2230.1,105315.9,0
87,46.6,2171.8,101213.2,-0.6
88,46.6,2171.8,101213.2,0
89,46.6,2171.8,101213.2,0
90,46.6,2171.8,101213.2,0
91,47.2,2230.1,105315.9,0.6
92,47.8,2289.2,109528.1,0.6
93,49.7,2471.1,122835.3,1.9
94,52.2,2724.3,142197.3,2.5
95,54.1,2922.4,157983.3,1.9
96,54.1,2922.4,157983.3,0
97,54.1,2922.4,157983.3,0
98,54.7,2990,163493.8,0.6
99,55.9,3127.4,174896.4,1.2
100,55.9,3127.4,174896.4,0
101,55.3,3058.3,169131.1,-0.6
102,55.3,3058.3,169131.1,0
103,55.9,3127.4,174896.4,0.6
104,57.2,3268,186817.2,1.2
105,57.2,3268,186817.2,0
106,56.5,3197.3,180791.3,-0.6
107,56.5,3197.3,180791.3,0
108,57.2,3268,186817.2,0.6
109,57.8,3339.4,192975.5,0.6
110,57.2,3268,186817.2,-0.6
111,57.2,3268,186817.2,0
112,57.8,3339.4,192975.5,0.6
113,58.4,3411.6,199267.7,0.6
114,57.8,3339.4,192975.5,-0.6
115,57.2,3268,186817.2,-0.6
116,57.2,3268,186817.2,0
