time,speed, speed2, speed3,accel
1,6.8,46.7,319.3,6.8
2,8.7,75.7,658.3,1.9
3,11.8,139.4,1645.6,3.1
4,11.8,139.4,1645.6,0
5,13,170.3,2221.8,1.2
6,12.4,154.4,1919.3,-0.6
7,13,170.3,2221.8,0.6
8,14.3,204.2,2919,1.2
9,15.5,241.3,3748.6,1.2
10,15.5,241.3,3748.6,0
11,17.4,302.7,5266.6,1.9
12,18,324.7,5851.2,0.6
13,18.6,347.5,6477.6,0.6
14,18.6,347.5,6477.6,0
15,18,324.7,5851.2,-0.6
16,17.4,302.7,5266.6,-0.6
17,17.4,302.7,5266.6,0
18,17.4,302.7,5266.6,0
19,16.8,281.5,4722.2,-0.6
20,16.8,281.5,4722.2,0
21,16.2,261,4216.7,-0.6
22,15.5,241.3,3748.6,-0.6
23,15.5,241.3,3748.6,0
24,14.9,222.4,3316.6,-0.6
25,14.9,222.4,3316.6,0
26,14.3,204.2,2919,-0.6
27,14.3,204.2,2919,0
28,14.9,222.4,3316.6,0.6
29,14.9,222.4,3316.6,0
30,15.5,241.3,3748.6,0.6
31,16.2,261,4216.7,0.6
32,16.2,261,4216.7,0
33,16.2,261,4216.7,0
34,15.5,241.3,3748.6,-0.6
35,14.9,222.4,3316.6,-0.6
36,14.3,204.2,2919,-0.6
37,14.3,204.2,2919,0
38,13,170.3,2221.8,-1.2
39,11.2,125.1,1399.2,-1.9
40,10.6,111.6,1178.7,-0.6
41,9.3,86.9,809.7,-1.2
42,7.5,55.6,414.6,-1.9
43,7.5,55.6,414.6,0
44,6.8,46.7,319.3,-0.6
45,8.1,65.3,527.1,1.2
46,13,170.3,2221.8,5
47,14.9,222.4,3316.6,1.9
48,17.4,302.7,5266.6,2.5
49,17.4,302.7,5266.6,0
50,17.4,302.7,5266.6,0
51,17.4,302.7,5266.6,0
52,16.8,281.5,4722.2,-0.6
53,16.8,281.5,4722.2,0
54,16.8,281.5,4722.2,0
55,17.4,302.7,5266.6,0.6
56,19.3,371,7147.2,1.9
57,19.9,395.4,7861.5,0.6
58,19.3,371,7147.2,-0.6
59,19.9,395.4,7861.5,0.6
60,19.9,395.4,7861.5,0
61,20.5,420.5,8621.7,0.6
62,21.1,446.3,9429.5,0.6
63,21.1,446.3,9429.5,0
64,21.1,446.3,9429.5,0
65,21.1,446.3,9429.5,0
66,19.9,395.4,7861.5,-1.2
67,17.4,302.7,5266.6,-2.5
