sourceTypeID,HPMS,sourceTypeName,AdivM,BdivM,CdivM,RolA,RotB,DraC,SourcM,FixMass
11,10,motorcycle,0.088070175,0,0.001105263,0.0251,0,0.000315,0.285,0.285
21,20,passenger car,0.105802678,0.0013538,0.000333378,0.156461,0.002002,0.000493,1.4788,1.4788
31,30,passenger truck,0.118444875,0.0015202,0.00037389,0.22112,0.002838,0.000698,1.86686,1.86686
32,30,light commercial truck,0.114093184,0.001475393,0.000363144,0.235008,0.003039,0.000748,2.05979,2.05979
41,40,intercity bus,0.075739766,0,0.000217251,1.29515,0,0.003715,19.5937,17.1
42,40,transit bus,0.064,0,0.000209766,1.0944,0,0.003587,16.556,17.1
43,40,school bus,0.043667719,0,0.000127251,0.746718,0,0.002176,9.06989,17.1
51,50,refuse truck,0.082868421,0,0.000208889,1.41705,0,0.003572,20.6845,17.1
52,50,single unit short-haul truck,0.032861579,0,9.37E-05,0.561933,0,0.001603,7.64159,17.1
53,50,single unit long-haul truck,0.029163684,0,8.62E-05,0.498699,0,0.001474,6.25047,17.1
54,50,motor home,0.036103567,0,0.000123099,0.617371,0,0.002105,6.73483,17.1
61,60,combination short-haul truck,0.114826901,0,0.000235731,1.96354,0,0.004031,29.3275,17.1
62,60,combination long-haul truck,0.121711111,0,0.000244912,2.08126,0,0.004188,31.4038,17.1
