Date,Time,ALBION PARK STH TEMP 1h average [°C],ALBION PARK STH HUMID 1h average [%]
01/07/2019,01:00,9.4,53.2
01/07/2019,02:00,8.7,55.8
01/07/2019,03:00,7.2,61.5
01/07/2019,04:00,5.4,70.3
01/07/2019,05:00,4.3,76.2
01/07/2019,06:00,3.1,82
01/07/2019,07:00,2.4,85.9
01/07/2019,08:00,2.2,88.3
01/07/2019,09:00,6.4,74.1
01/07/2019,10:00,11.4,58.5
01/07/2019,11:00,14.2,42.8
01/07/2019,12:00,15.7,36.6
01/07/2019,13:00,17,33.4
01/07/2019,14:00,17.4,33.7
01/07/2019,15:00,17.7,33.3
01/07/2019,16:00,17,38.6
01/07/2019,17:00,14.5,56.5
01/07/2019,18:00,12.4,64.8
01/07/2019,19:00,10.5,74.5
01/07/2019,20:00,9.6,77.3
01/07/2019,21:00,8.8,80.7
01/07/2019,22:00,7.8,84
01/07/2019,23:00,6.7,87.6
01/07/2019,24:00,6.5,86.7
