Date,Time,ARMIDALE TEMP 1h average [°C],ARMIDALE HUMID 1h average [%]
01/07/2019,01:00,3.7,95.8
01/07/2019,02:00,3.2,95.6
01/07/2019,03:00,2.9,95.8
01/07/2019,04:00,3.5,96
01/07/2019,05:00,4.5,94.1
01/07/2019,06:00,5.9,94.2
01/07/2019,07:00,7.4,96.2
01/07/2019,08:00,8.1,96.2
01/07/2019,09:00,8.3,93.4
01/07/2019,10:00,9.3,88.4
01/07/2019,11:00,10.8,80
01/07/2019,12:00,13.1,69.6
01/07/2019,13:00,15.6,55.5
01/07/2019,14:00,17.6,44.3
01/07/2019,15:00,17.8,39.4
01/07/2019,16:00,16.9,41.5
01/07/2019,17:00,15.9,43.6
01/07/2019,18:00,13.6,51.4
01/07/2019,19:00,10.6,63.4
01/07/2019,20:00,8.6,71.5
01/07/2019,21:00,7.1,77
01/07/2019,22:00,5.7,82.2
01/07/2019,23:00,4.5,86.1
01/07/2019,24:00,3.5,88.5
