Date,Time,BARGO TEMP 1h average [°C],BARGO HUMID 1h average [%]
01/07/2019,01:00,5.7,58.6
01/07/2019,02:00,4,67
01/07/2019,03:00,3.5,69.5
01/07/2019,04:00,3,70.8
01/07/2019,05:00,3.1,70.5
01/07/2019,06:00,3,71.5
01/07/2019,07:00,2.3,75.2
01/07/2019,08:00,2.4,75.3
01/07/2019,09:00,4.3,71
01/07/2019,10:00,6.8,61.6
01/07/2019,11:00,10.5,45.8
01/07/2019,12:00,12.3,35
01/07/2019,13:00,13.9,31.3
01/07/2019,14:00,14.8,30.1
01/07/2019,15:00,14.8,34.5
01/07/2019,16:00,13.3,38.3
01/07/2019,17:00,11.3,45.4
01/07/2019,18:00,8.9,56.5
01/07/2019,19:00,8.4,58.5
01/07/2019,20:00,7.8,61.7
01/07/2019,21:00,7.1,64.7
01/07/2019,22:00,6.2,69.3
01/07/2019,23:00,5.3,72.2
01/07/2019,24:00,4.4,75.6
