Date,Time,BATHURST TEMP 1h average [°C],BATHURST HUMID 1h average [%]
01/07/2019,01:00,-1,98
01/07/2019,02:00,-1.2,98.2
01/07/2019,03:00,-1.4,97.6
01/07/2019,04:00,-1.7,98.4
01/07/2019,05:00,-2.5,98.6
01/07/2019,06:00,-2.5,97.6
01/07/2019,07:00,-3.4,99.1
01/07/2019,08:00,-3.5,99.6
01/07/2019,09:00,-2.6,99.1
01/07/2019,10:00,0.4,93.6
01/07/2019,11:00,4.1,74.5
01/07/2019,12:00,7,65.9
01/07/2019,13:00,9.6,54.2
01/07/2019,14:00,11.5,40.3
01/07/2019,15:00,12.5,41.6
01/07/2019,16:00,12.8,43.7
01/07/2019,17:00,11.4,52.6
01/07/2019,18:00,8.9,67.2
01/07/2019,19:00,6.6,79.5
01/07/2019,20:00,5.3,84.5
01/07/2019,21:00,4.4,87.8
01/07/2019,22:00,3.7,89.8
01/07/2019,23:00,2.8,92.4
01/07/2019,24:00,1.8,95.7
