Date,Time,BULGA TEMP 1h average [°C],BULGA HUMID 1h average [%]
01/07/2019,01:00,0.4,91.8
01/07/2019,02:00,0,93.3
01/07/2019,03:00,-0.6,94
01/07/2019,04:00,-1.2,94.9
01/07/2019,05:00,-1.7,95.2
01/07/2019,06:00,-2.1,96.1
01/07/2019,07:00,-2.3,95.6
01/07/2019,08:00,-2.1,95.8
01/07/2019,09:00,2,89.4
01/07/2019,10:00,6.1,71
01/07/2019,11:00,10,55.7
01/07/2019,12:00,13.2,43.8
01/07/2019,13:00,15.4,35.6
01/07/2019,14:00,16.1,30
01/07/2019,15:00,16.8,24.6
01/07/2019,16:00,16.9,26.3
01/07/2019,17:00,15.2,32.4
01/07/2019,18:00,10.8,45.4
01/07/2019,19:00,8,56.2
01/07/2019,20:00,7.4,62.1
01/07/2019,21:00,4.5,71.9
01/07/2019,22:00,3.8,75.6
01/07/2019,23:00,2.8,78.3
01/07/2019,24:00,0.8,87.1
