Date,Time,CAMBERWELL TEMP 1h average [°C],CAMBERWELL HUMID 1h average [%]
01/07/2019,01:00,6.1,75
01/07/2019,02:00,5,78.6
01/07/2019,03:00,4.1,83.3
01/07/2019,04:00,3.6,86.4
01/07/2019,05:00,2.9,89.7
01/07/2019,06:00,2.4,92.5
01/07/2019,07:00,2,93
01/07/2019,08:00,1.8,94.2
01/07/2019,09:00,4,92.2
01/07/2019,10:00,8.1,74.7
01/07/2019,11:00,10.1,65.5
01/07/2019,12:00,12.5,51.4
01/07/2019,13:00,14.6,39.9
01/07/2019,14:00,15.8,34
01/07/2019,15:00,16.6,29.5
01/07/2019,16:00,17.1,27.1
01/07/2019,17:00,15.6,32.8
01/07/2019,18:00,13.5,43.4
01/07/2019,19:00,12.1,50.1
01/07/2019,20:00,9.6,61.2
01/07/2019,21:00,8,67.4
01/07/2019,22:00,7.3,67
01/07/2019,23:00,5.5,77.7
01/07/2019,24:00,4.9,84.3
