Date,Time,CAMDEN TEMP 1h average [°C],CAMDEN HUMID 1h average [%]
01/07/2019,01:00,3.9,75
01/07/2019,02:00,3,79.5
01/07/2019,03:00,1.6,86.1
01/07/2019,04:00,1,88.8
01/07/2019,05:00,0.1,89.9
01/07/2019,06:00,-0.5,91
01/07/2019,07:00,-0.9,93.9
01/07/2019,08:00,-0.8,94.5
01/07/2019,09:00,1.6,86.3
01/07/2019,10:00,5.7,72.6
01/07/2019,11:00,9.9,58
01/07/2019,12:00,13.1,48
01/07/2019,13:00,14.8,36
01/07/2019,14:00,16,38.4
01/07/2019,15:00,15.7,41.1
01/07/2019,16:00,15,43.3
01/07/2019,17:00,13.5,50.4
01/07/2019,18:00,12.1,55.9
01/07/2019,19:00,9.6,71
01/07/2019,20:00,8.7,72.1
01/07/2019,21:00,7.6,77.4
01/07/2019,22:00,6.8,82.5
01/07/2019,23:00,5.7,87.3
01/07/2019,24:00,4.3,90.8
