Date,Time,CAMPBELLTOWN WEST TEMP 1h average [°C],CAMPBELLTOWN WEST HUMID 1h average [%]
01/07/2019,01:00,8.5,55.4
01/07/2019,02:00,7.2,61.4
01/07/2019,03:00,6.1,66.8
01/07/2019,04:00,5.5,70
01/07/2019,05:00,4.7,73.4
01/07/2019,06:00,4.3,75.8
01/07/2019,07:00,4.3,75.3
01/07/2019,08:00,3.1,80.2
01/07/2019,09:00,4.1,78.9
01/07/2019,10:00,7.1,69.8
01/07/2019,11:00,10.4,56.8
01/07/2019,12:00,13.1,45.6
01/07/2019,13:00,15.5,38.9
01/07/2019,14:00,15.8,42.8
01/07/2019,15:00,16,42.9
01/07/2019,16:00,15.5,44.9
01/07/2019,17:00,14.2,50.8
01/07/2019,18:00,12.8,55.6
01/07/2019,19:00,12.1,58.8
01/07/2019,20:00,10.7,67.2
01/07/2019,21:00,9.9,70.7
01/07/2019,22:00,8.9,76.7
01/07/2019,23:00,7.5,81.7
01/07/2019,24:00,6.6,85.7
