Date,Time,CARRINGTON TEMP 1h average [°C],CARRINGTON HUMID 1h average [%]
01/07/2019,01:00,7.9,86.8
01/07/2019,02:00,7.8,83.8
01/07/2019,03:00,7.2,82.9
01/07/2019,04:00,6.6,84.6
01/07/2019,05:00,5.9,85.9
01/07/2019,06:00,5.4,85.6
01/07/2019,07:00,5.1,87.1
01/07/2019,08:00,5,86.7
01/07/2019,09:00,6.5,81.4
01/07/2019,10:00,8.4,76.6
01/07/2019,11:00,11.5,62.9
01/07/2019,12:00,13.7,51.3
01/07/2019,13:00,15.2,41.1
01/07/2019,14:00,16.4,33.3
01/07/2019,15:00,16.7,31.2
01/07/2019,16:00,16.1,38.1
01/07/2019,17:00,14.9,41.8
01/07/2019,18:00,13.1,52.3
01/07/2019,19:00,12.1,64.7
01/07/2019,20:00,11,75.5
01/07/2019,21:00,10.1,80.4
01/07/2019,22:00,9.2,81.9
01/07/2019,23:00,8.4,87.4
01/07/2019,24:00,7.9,89.5
