Date,Time,CHULLORA TEMP 1h average [°C],CHULLORA HUMID 1h average [%]
01/07/2019,01:00,8.5,58.8
01/07/2019,02:00,8.2,60.3
01/07/2019,03:00,7.6,63
01/07/2019,04:00,6.2,71
01/07/2019,05:00,5.6,73.3
01/07/2019,06:00,5.8,71.9
01/07/2019,07:00,5.7,72.2
01/07/2019,08:00,6,72.4
01/07/2019,09:00,7.6,68.2
01/07/2019,10:00,9,62.7
01/07/2019,11:00,11.2,54.7
01/07/2019,12:00,13.4,45.9
01/07/2019,13:00,15.3,41.7
01/07/2019,14:00,16.3,44.7
01/07/2019,15:00,16.5,45.3
01/07/2019,16:00,16.1,51
01/07/2019,17:00,14,65.4
01/07/2019,18:00,12.3,70.7
01/07/2019,19:00,11.6,71.8
01/07/2019,20:00,11.2,76.1
01/07/2019,21:00,10.3,83.4
01/07/2019,22:00,9.8,85.8
01/07/2019,23:00,8.6,90.8
01/07/2019,24:00,7.6,93.7
