Date,Time,GUNNEDAH TEMP 1h average [°C],GUNNEDAH HUMID 1h average [%]
01/07/2019,01:00,4.5,66.8
01/07/2019,02:00,2.9,71.4
01/07/2019,03:00,3.6,67.3
01/07/2019,04:00,2.4,72.3
01/07/2019,05:00,1.9,73.9
01/07/2019,06:00,3.8,68.1
01/07/2019,07:00,3.6,68.8
01/07/2019,08:00,3.5,68.7
01/07/2019,09:00,5.2,63.6
01/07/2019,10:00,9.1,53.6
01/07/2019,11:00,11.3,48.5
01/07/2019,12:00,14.1,47.3
01/07/2019,13:00,16.1,46.1
01/07/2019,14:00,18.7,40.8
01/07/2019,15:00,19.6,36.7
01/07/2019,16:00,20,35.3
01/07/2019,17:00,18.8,37.8
01/07/2019,18:00,14.7,50.1
01/07/2019,19:00,12.4,55
01/07/2019,20:00,11.2,60.5
01/07/2019,21:00,10.3,64
01/07/2019,22:00,8.8,67.9
01/07/2019,23:00,7.6,70.6
01/07/2019,24:00,6.4,73
