Date,Time,JERRYS PLAINS TEMP 1h average [°C],JERRYS PLAINS HUMID 1h average [%]
01/07/2019,01:00,4.5,77.7
01/07/2019,02:00,3.7,81.3
01/07/2019,03:00,3.5,81.7
01/07/2019,04:00,3.6,81.1
01/07/2019,05:00,2.6,84.8
01/07/2019,06:00,1.4,88.6
01/07/2019,07:00,1.1,89.1
01/07/2019,08:00,1.5,88
01/07/2019,09:00,3.7,81.9
01/07/2019,10:00,6.5,72.5
01/07/2019,11:00,9.3,59.6
01/07/2019,12:00,12.3,48.2
01/07/2019,13:00,14.3,38.2
01/07/2019,14:00,16,29.3
01/07/2019,15:00,16.8,26.4
01/07/2019,16:00,16.9,25.8
01/07/2019,17:00,15.7,29.2
01/07/2019,18:00,13.3,39.1
01/07/2019,19:00,10.5,48.5
01/07/2019,20:00,8.7,54.4
01/07/2019,21:00,6.9,61.2
01/07/2019,22:00,6.1,65.8
01/07/2019,23:00,4.9,71.5
01/07/2019,24:00,3.7,78.2
