Date,Time,KATOOMBA TEMP 1h average [°C],KATOOMBA HUMID 1h average [%]
01/07/2019,01:00,2.5,59.9
01/07/2019,02:00,2.8,55.2
01/07/2019,03:00,2.1,61.8
01/07/2019,04:00,3.8,45.3
01/07/2019,05:00,3.8,43.1
01/07/2019,06:00,4.8,37
01/07/2019,07:00,4.7,37.5
01/07/2019,08:00,5.1,37.1
01/07/2019,09:00,5.4,40
01/07/2019,10:00,7.1,42.1
01/07/2019,11:00,9.7,39.6
01/07/2019,12:00,12.1,33.4
01/07/2019,13:00,13.2,29.3
01/07/2019,14:00,13.5,24.9
01/07/2019,15:00,13.2,31.7
01/07/2019,16:00,12.4,32.2
01/07/2019,17:00,10.8,24.9
01/07/2019,18:00,10.1,23.1
01/07/2019,19:00,10,23.2
01/07/2019,20:00,10.3,23.4
01/07/2019,21:00,10.1,25
01/07/2019,22:00,10.2,25.5
01/07/2019,23:00,10.1,24.7
01/07/2019,24:00,9.7,25.3
