Date,Time,LIVERPOOL TEMP 1h average [°C],LIVERPOOL HUMID 1h average [%]
01/07/2019,01:00,6.9,60.1
01/07/2019,02:00,5.9,64.8
01/07/2019,03:00,5.5,66.7
01/07/2019,04:00,4.5,70.9
01/07/2019,05:00,3.3,76.8
01/07/2019,06:00,3.1,78.1
01/07/2019,07:00,2.7,79.9
01/07/2019,08:00,3.3,77.3
01/07/2019,09:00,5.4,70.4
01/07/2019,10:00,7.8,63.2
01/07/2019,11:00,10.4,52
01/07/2019,12:00,12.4,44.1
01/07/2019,13:00,14.4,38.8
01/07/2019,14:00,15.6,43.4
01/07/2019,15:00,16,41.7
01/07/2019,16:00,15.7,41.4
01/07/2019,17:00,14.4,46.4
01/07/2019,18:00,12.2,58.3
01/07/2019,19:00,11.3,63.8
01/07/2019,20:00,10.6,69.6
01/07/2019,21:00,9.7,75
01/07/2019,22:00,9,77.2
01/07/2019,23:00,7.7,81.4
01/07/2019,24:00,6.5,85.3
