Date,Time,LIVERPOOL SWAQS TEMP 1h average [°C],LIVERPOOL SWAQS HUMID 1h average [%]
01/07/2019,01:00,8.9,54.6
01/07/2019,02:00,7.8,58.7
01/07/2019,03:00,7.1,61.8
01/07/2019,04:00,6,66.2
01/07/2019,05:00,5,71.2
01/07/2019,06:00,5.4,68.9
01/07/2019,07:00,4.9,71.4
01/07/2019,08:00,4.8,72.2
01/07/2019,09:00,6,69.2
01/07/2019,10:00,8.2,63.3
01/07/2019,11:00,10.8,56.3
01/07/2019,12:00,13,46.8
01/07/2019,13:00,15.4,40.6
01/07/2019,14:00,16.3,45
01/07/2019,15:00,16.6,43.5
01/07/2019,16:00,16.1,43
01/07/2019,17:00,14.8,48.1
01/07/2019,18:00,12.9,56.9
01/07/2019,19:00,11.7,67.1
01/07/2019,20:00,11.3,71.4
01/07/2019,21:00,10.6,76.2
01/07/2019,22:00,9.3,81.4
01/07/2019,23:00,8.5,84.8
01/07/2019,24:00,7.7,85.6
