Date,Time,MACQUARIE PARK TEMP 1h average [°C],MACQUARIE PARK HUMID 1h average [%]
01/07/2019,01:00,4.3,93.5
01/07/2019,02:00,3.5,95.7
01/07/2019,03:00,3.1,96.2
01/07/2019,04:00,2.6,96.7
01/07/2019,05:00,2.3,97.2
01/07/2019,06:00,2.1,97.2
01/07/2019,07:00,2,97.2
01/07/2019,08:00,2.4,96.3
01/07/2019,09:00,6.2,82.5
01/07/2019,10:00,9.1,67.4
01/07/2019,11:00,10.5,61.1
01/07/2019,12:00,13.3,51.1
01/07/2019,13:00,15.4,47.1
01/07/2019,14:00,16.6,51
01/07/2019,15:00,17,51
01/07/2019,16:00,16.2,51.7
01/07/2019,17:00,13.9,63
01/07/2019,18:00,10.9,81.5
01/07/2019,19:00,9.5,91
01/07/2019,20:00,8.9,93.3
01/07/2019,21:00,8.5,94.1
01/07/2019,22:00,8,92.8
01/07/2019,23:00,6.6,96.2
01/07/2019,24:00,5.8,97.5
