Date,Time,MAISON DIEU TEMP 1h average [°C],MAISON DIEU HUMID 1h average [%]
01/07/2019,01:00,2,86.8
01/07/2019,02:00,1.3,88.8
01/07/2019,03:00,1,89.7
01/07/2019,04:00,1.3,88.3
01/07/2019,05:00,0.7,89.8
01/07/2019,06:00,-0.2,91.2
01/07/2019,07:00,-0.3,92.6
01/07/2019,08:00,-0.3,93.1
01/07/2019,09:00,3.3,88.1
01/07/2019,10:00,7.1,75.8
01/07/2019,11:00,10,61.8
01/07/2019,12:00,12.8,49.1
01/07/2019,13:00,15.1,39.5
01/07/2019,14:00,16.4,32.4
01/07/2019,15:00,17.6,28
01/07/2019,16:00,17.2,30.8
01/07/2019,17:00,15.3,37.3
01/07/2019,18:00,11.3,54.4
01/07/2019,19:00,8.9,62.7
01/07/2019,20:00,7.8,64.3
01/07/2019,21:00,6.2,68.5
01/07/2019,22:00,4,79.1
01/07/2019,23:00,2.6,84.2
01/07/2019,24:00,2.1,86.7
