Date,Time,MAYFIELD TEMP 1h average [°C],MAYFIELD HUMID 1h average [%]
01/07/2019,01:00,7.8,75.1
01/07/2019,02:00,7.8,71
01/07/2019,03:00,6.3,85.8
01/07/2019,04:00,5.6,83.5
01/07/2019,05:00,4.4,87.3
01/07/2019,06:00,3.9,88.7
01/07/2019,07:00,3.6,89.1
01/07/2019,08:00,3.9,87.1
01/07/2019,09:00,5.2,82.4
01/07/2019,10:00,7.7,73.2
01/07/2019,11:00,10.7,62
01/07/2019,12:00,13.4,50.7
01/07/2019,13:00,14.7,42.3
01/07/2019,14:00,15.9,33.6
01/07/2019,15:00,16.2,30.2
01/07/2019,16:00,15.9,36.1
01/07/2019,17:00,14.2,45.5
01/07/2019,18:00,12.8,50.4
01/07/2019,19:00,12,59.4
01/07/2019,20:00,10.9,70.7
01/07/2019,21:00,9.9,71.3
01/07/2019,22:00,9.5,69
01/07/2019,23:00,9.7,68.4
01/07/2019,24:00,7.3,84.6
