Date,Time,MERRIWA TEMP 1h average [°C],MERRIWA HUMID 1h average [%]
01/07/2019,01:00,5.7,70.4
01/07/2019,02:00,5.1,72.6
01/07/2019,03:00,4.5,74.7
01/07/2019,04:00,5.1,72.1
01/07/2019,05:00,5.6,71.2
01/07/2019,06:00,5,74.5
01/07/2019,07:00,5,74
01/07/2019,08:00,4.3,74.6
01/07/2019,09:00,5.4,75.7
01/07/2019,10:00,8.1,66
01/07/2019,11:00,10,55.1
01/07/2019,12:00,12,50.7
01/07/2019,13:00,13.3,47.2
01/07/2019,14:00,14.4,44
01/07/2019,15:00,15.1,41.9
01/07/2019,16:00,14.8,42.1
01/07/2019,17:00,13.5,43.8
01/07/2019,18:00,12.3,45.5
01/07/2019,19:00,11.6,47.1
01/07/2019,20:00,11,49.5
01/07/2019,21:00,11,51.1
01/07/2019,22:00,10.3,54.8
01/07/2019,23:00,9.9,56.8
01/07/2019,24:00,8.3,62.8
