Date,Time,MOUNT THORLEY TEMP 1h average [°C],MOUNT THORLEY HUMID 1h average [%]
01/07/2019,01:00,7,66.8
01/07/2019,02:00,6.1,71.2
01/07/2019,03:00,5.2,74
01/07/2019,04:00,4.3,79.5
01/07/2019,05:00,4,79.7
01/07/2019,06:00,3.6,81.5
01/07/2019,07:00,2.8,84.9
01/07/2019,08:00,2.4,87.5
01/07/2019,09:00,4.8,78.9
01/07/2019,10:00,6.8,71.6
01/07/2019,11:00,9.5,61.5
01/07/2019,12:00,12.7,46.6
01/07/2019,13:00,14.7,35.5
01/07/2019,14:00,16,30.1
01/07/2019,15:00,16.9,25.9
01/07/2019,16:00,16.8,25.4
01/07/2019,17:00,15.1,32.2
01/07/2019,18:00,13,35.5
01/07/2019,19:00,10.7,44.7
01/07/2019,20:00,9.5,50.7
01/07/2019,21:00,9,54.9
01/07/2019,22:00,8,60.4
01/07/2019,23:00,6.5,65.3
01/07/2019,24:00,5.7,70.5
