Date,Time,MUSWELLBROOK TEMP 1h average [°C],MUSWELLBROOK HUMID 1h average [%]
01/07/2019,01:00,4.7,74
01/07/2019,02:00,3.9,77
01/07/2019,03:00,3.1,80.6
01/07/2019,04:00,2,84.9
01/07/2019,05:00,1.5,86.7
01/07/2019,06:00,1.1,87.7
01/07/2019,07:00,-0.1,90.9
01/07/2019,08:00,0.1,91.3
01/07/2019,09:00,3,81.9
01/07/2019,10:00,7.5,65.5
01/07/2019,11:00,,
01/07/2019,12:00,12.2,51.2
01/07/2019,13:00,14,44.5
01/07/2019,14:00,16,38.1
01/07/2019,15:00,17.2,33.3
01/07/2019,16:00,17,31
01/07/2019,17:00,15.6,34
01/07/2019,18:00,12.1,49.2
01/07/2019,19:00,9.7,61.8
01/07/2019,20:00,8,71.4
01/07/2019,21:00,6.3,78.7
01/07/2019,22:00,4.8,84.3
01/07/2019,23:00,4.2,85.6
01/07/2019,24:00,3.9,86.7
