Date,Time,NEWCASTLE TEMP 1h average [°C],NEWCASTLE HUMID 1h average [%]
01/07/2019,01:00,6.8,80.7
01/07/2019,02:00,6.1,83.9
01/07/2019,03:00,6,82.1
01/07/2019,04:00,5.2,84.5
01/07/2019,05:00,5.2,82.1
01/07/2019,06:00,4.2,86.2
01/07/2019,07:00,3.7,88.1
01/07/2019,08:00,4.1,85.1
01/07/2019,09:00,6.4,74.9
01/07/2019,10:00,8.4,66.7
01/07/2019,11:00,11.4,56.4
01/07/2019,12:00,13.9,45.2
01/07/2019,13:00,14.8,40
01/07/2019,14:00,16,31.7
01/07/2019,15:00,16.3,30.6
01/07/2019,16:00,15.7,37.5
01/07/2019,17:00,14.6,41.8
01/07/2019,18:00,11.7,53.9
01/07/2019,19:00,10.1,65.3
01/07/2019,20:00,9.1,73.6
01/07/2019,21:00,8.5,76.5
01/07/2019,22:00,7.7,80.3
01/07/2019,23:00,6.9,82.9
01/07/2019,24:00,6.2,85.8
