Date,Time,OAKDALE TEMP 1h average [°C],OAKDALE HUMID 1h average [%]
01/07/2019,01:00,5.9,58.6
01/07/2019,02:00,5.3,62.4
01/07/2019,03:00,5,64.2
01/07/2019,04:00,4.8,65.8
01/07/2019,05:00,4.5,67.5
01/07/2019,06:00,4.1,70.2
01/07/2019,07:00,3.8,71.5
01/07/2019,08:00,3.9,72.2
01/07/2019,09:00,5,69
01/07/2019,10:00,7.9,55
01/07/2019,11:00,10.1,44
01/07/2019,12:00,11.4,35.3
01/07/2019,13:00,12.6,34.1
01/07/2019,14:00,14.1,33.7
01/07/2019,15:00,13.4,41.7
01/07/2019,16:00,12.1,44.4
01/07/2019,17:00,10.4,51.8
01/07/2019,18:00,9.1,57.4
01/07/2019,19:00,9.1,56.7
01/07/2019,20:00,8.8,58.7
01/07/2019,21:00,7.7,65.3
01/07/2019,22:00,6.7,70.9
01/07/2019,23:00,6.7,69.6
01/07/2019,24:00,7.2,66.9
