Date,Time,ORANGE TEMP 1h average [°C],ORANGE HUMID 1h average [%]
01/07/2019,01:00,1.6,91.2
01/07/2019,02:00,2.6,81.4
01/07/2019,03:00,2.2,83.9
01/07/2019,04:00,1.6,87.1
01/07/2019,05:00,0.9,90.1
01/07/2019,06:00,0.4,92.4
01/07/2019,07:00,0.3,92.4
01/07/2019,08:00,0.9,90.1
01/07/2019,09:00,2.2,83
01/07/2019,10:00,6.4,59.9
01/07/2019,11:00,9.7,42.9
01/07/2019,12:00,12.5,29.8
01/07/2019,13:00,13.7,26
01/07/2019,14:00,13.8,24.5
01/07/2019,15:00,13.4,26.3
01/07/2019,16:00,12.8,29.7
01/07/2019,17:00,11.3,36
01/07/2019,18:00,8.6,46.9
01/07/2019,19:00,6.9,58
01/07/2019,20:00,6,64.9
01/07/2019,21:00,5.4,70.2
01/07/2019,22:00,5.1,68.7
01/07/2019,23:00,4.3,69.4
01/07/2019,24:00,3.4,74.4
