Date,Time,RANDWICK TEMP 1h average [°C],RANDWICK HUMID 1h average [%]
01/07/2019,01:00,8.8,56.7
01/07/2019,02:00,8.2,59.8
01/07/2019,03:00,7.8,61
01/07/2019,04:00,7.8,61
01/07/2019,05:00,7.4,63.1
01/07/2019,06:00,7.2,64.6
01/07/2019,07:00,7,65.4
01/07/2019,08:00,7.1,66.2
01/07/2019,09:00,8.1,63.2
01/07/2019,10:00,9.4,59.5
01/07/2019,11:00,10.9,53.6
01/07/2019,12:00,13,47.2
01/07/2019,13:00,14.9,45.4
01/07/2019,14:00,16.1,48.1
01/07/2019,15:00,16.2,50.5
01/07/2019,16:00,15.2,60
01/07/2019,17:00,14.3,63.1
01/07/2019,18:00,13.3,68.6
01/07/2019,19:00,12.8,74.3
01/07/2019,20:00,13.2,70.4
01/07/2019,21:00,11.7,74.8
01/07/2019,22:00,10.6,75.7
01/07/2019,23:00,9.2,79.4
01/07/2019,24:00,8.3,81.6
