Date,Time,ROUSE HILL TEMP 1h average [°C],ROUSE HILL HUMID 1h average [%]
01/07/2019,01:00,6.8,70.8
01/07/2019,02:00,6.1,74.7
01/07/2019,03:00,5.1,81.6
01/07/2019,04:00,4.2,87
01/07/2019,05:00,3.8,87.9
01/07/2019,06:00,3.5,90.9
01/07/2019,07:00,2.9,94.2
01/07/2019,08:00,2.9,95.4
01/07/2019,09:00,4.8,86.9
01/07/2019,10:00,6.5,79.1
01/07/2019,11:00,8.7,69.6
01/07/2019,12:00,11.4,57.9
01/07/2019,13:00,13.9,46.3
01/07/2019,14:00,15.1,47.8
01/07/2019,15:00,15.8,49.2
01/07/2019,16:00,15.7,49.1
01/07/2019,17:00,14.3,51.5
01/07/2019,18:00,13.1,55.9
01/07/2019,19:00,12.7,62.4
01/07/2019,20:00,11.6,72.8
01/07/2019,21:00,10.5,75.2
01/07/2019,22:00,9.7,76
01/07/2019,23:00,9.1,79.5
01/07/2019,24:00,7.8,85.7
