Date,Time,ROZELLE TEMP 1h average [°C],ROZELLE HUMID 1h average [%]
01/07/2019,01:00,8.4,59.2
01/07/2019,02:00,7.8,63.2
01/07/2019,03:00,7.5,65.5
01/07/2019,04:00,7.4,65.5
01/07/2019,05:00,6.7,69.1
01/07/2019,06:00,6.6,69.9
01/07/2019,07:00,6.1,72.5
01/07/2019,08:00,6.2,73.7
01/07/2019,09:00,7.5,68.4
01/07/2019,10:00,8.9,63.6
01/07/2019,11:00,10.8,56.5
01/07/2019,12:00,13.1,51.9
01/07/2019,13:00,14.9,46.1
01/07/2019,14:00,16,45.3
01/07/2019,15:00,16.5,46.2
01/07/2019,16:00,15.7,56.1
01/07/2019,17:00,15,59.5
01/07/2019,18:00,13.8,64.6
01/07/2019,19:00,13.5,67.3
01/07/2019,20:00,13,70.3
01/07/2019,21:00,11.7,75.2
01/07/2019,22:00,11,73.8
01/07/2019,23:00,10.5,76.1
01/07/2019,24:00,9.2,84.8
