Date,Time,STOCKTON TEMP 1h average [°C],STOCKTON HUMID 1h average [%]
01/07/2019,01:00,10.8,73.3
01/07/2019,02:00,10.5,69.4
01/07/2019,03:00,9,77.6
01/07/2019,04:00,8.4,79.8
01/07/2019,05:00,7.7,79.5
01/07/2019,06:00,7.5,81
01/07/2019,07:00,6.5,84.9
01/07/2019,08:00,6.5,84.2
01/07/2019,09:00,7.4,80.1
01/07/2019,10:00,8.6,77.6
01/07/2019,11:00,10.7,68.2
01/07/2019,12:00,12.9,57.9
01/07/2019,13:00,14.9,46.4
01/07/2019,14:00,15.9,39
01/07/2019,15:00,16.6,37.7
01/07/2019,16:00,15.8,41.1
01/07/2019,17:00,14.5,46.8
01/07/2019,18:00,13.4,54.6
01/07/2019,19:00,13.1,51.4
01/07/2019,20:00,12.9,65.8
01/07/2019,21:00,12.6,74.1
01/07/2019,22:00,11.8,75.2
01/07/2019,23:00,11.1,76.7
01/07/2019,24:00,9.9,83
