Date,Time,TAMWORTH TEMP 1h average [°C],TAMWORTH HUMID 1h average [%]
01/07/2019,01:00,5.4,77
01/07/2019,02:00,4.1,83.4
01/07/2019,03:00,3.8,85.2
01/07/2019,04:00,3.7,86.6
01/07/2019,05:00,3.6,87.5
01/07/2019,06:00,3.6,88.1
01/07/2019,07:00,4.4,86.1
01/07/2019,08:00,4.8,84.2
01/07/2019,09:00,7.2,79.2
01/07/2019,10:00,11.3,70.1
01/07/2019,11:00,14.8,61.6
01/07/2019,12:00,15.3,60.5
01/07/2019,13:00,16.9,56.1
01/07/2019,14:00,18.6,47.5
01/07/2019,15:00,19.4,39.1
01/07/2019,16:00,19.3,38.6
01/07/2019,17:00,18.2,40.8
01/07/2019,18:00,14.8,52.7
01/07/2019,19:00,12.7,61.3
01/07/2019,20:00,10.6,70.5
01/07/2019,21:00,10,71.8
01/07/2019,22:00,9.5,70.8
01/07/2019,23:00,8.9,72.4
01/07/2019,24:00,8.4,74.2
