Date,Time,WAGGA WAGGA NTH TEMP 1h average [°C],WAGGA WAGGA NTH HUMID 1h average [%]
01/07/2019,01:00,4.9,96.6
01/07/2019,02:00,4.9,95.7
01/07/2019,03:00,3.8,96.5
01/07/2019,04:00,2.6,98.3
01/07/2019,05:00,1.9,98.7
01/07/2019,06:00,1,99.1
01/07/2019,07:00,0.8,99
01/07/2019,08:00,1,98.6
01/07/2019,09:00,2.2,97
01/07/2019,10:00,5.3,87.7
01/07/2019,11:00,7.6,79.9
01/07/2019,12:00,9.2,73.3
01/07/2019,13:00,10.8,66.7
01/07/2019,14:00,11.4,58
01/07/2019,15:00,11.5,58
01/07/2019,16:00,11.4,58.8
01/07/2019,17:00,10.6,63.2
01/07/2019,18:00,9.3,72.5
01/07/2019,19:00,7.8,82.5
01/07/2019,20:00,6.7,86.7
01/07/2019,21:00,5.6,92.8
01/07/2019,22:00,4.9,94.4
01/07/2019,23:00,4.5,96.1
01/07/2019,24:00,4.1,97.2
