Date,Time,WALLSEND TEMP 1h average [°C],WALLSEND HUMID 1h average [%]
01/07/2019,01:00,4.3,93.3
01/07/2019,02:00,4,93.8
01/07/2019,03:00,3.2,93.8
01/07/2019,04:00,2.7,94.5
01/07/2019,05:00,2,94.9
01/07/2019,06:00,1.6,95.4
01/07/2019,07:00,1.3,95.7
01/07/2019,08:00,1.3,95.9
01/07/2019,09:00,3.3,93.9
01/07/2019,10:00,6.6,84.6
01/07/2019,11:00,11.5,66
01/07/2019,12:00,14.1,49.1
01/07/2019,13:00,15.2,38.8
01/07/2019,14:00,16.2,34.1
01/07/2019,15:00,16.9,31.9
01/07/2019,16:00,16,37.1
01/07/2019,17:00,13.6,48.8
01/07/2019,18:00,10.3,70.6
01/07/2019,19:00,8.7,77.6
01/07/2019,20:00,7.9,80.4
01/07/2019,21:00,6.8,85.4
01/07/2019,22:00,5.8,89.1
01/07/2019,23:00,5.2,91.1
01/07/2019,24:00,4.2,92.6
