Date,Time,WARKWORTH TEMP 1h average [°C],WARKWORTH HUMID 1h average [%]
01/07/2019,01:00,0.6,93.9
01/07/2019,02:00,-0.3,94.6
01/07/2019,03:00,-1.2,96.2
01/07/2019,04:00,-0.8,96.5
01/07/2019,05:00,-1.7,96.3
01/07/2019,06:00,-1.9,96.9
01/07/2019,07:00,-2.7,96.8
01/07/2019,08:00,-1.8,96.9
01/07/2019,09:00,2.9,87.8
01/07/2019,10:00,7.2,70.4
01/07/2019,11:00,10.5,56.2
01/07/2019,12:00,13.2,45.1
01/07/2019,13:00,15.5,33.9
01/07/2019,14:00,16.7,28.1
01/07/2019,15:00,17.5,24.9
01/07/2019,16:00,17.3,23.5
01/07/2019,17:00,14.9,35.4
01/07/2019,18:00,10.6,51.7
01/07/2019,19:00,7.8,61.4
01/07/2019,20:00,6.2,67.6
01/07/2019,21:00,4.6,73.1
01/07/2019,22:00,2.9,79.4
01/07/2019,23:00,1.4,86.5
01/07/2019,24:00,0.5,89
