Date,Time,WYONG TEMP 1h average [°C],WYONG HUMID 1h average [%]
01/07/2019,01:00,7.4,74.9
01/07/2019,02:00,5.7,84.6
01/07/2019,03:00,5.1,85.6
01/07/2019,04:00,4.9,85
01/07/2019,05:00,4,89.9
01/07/2019,06:00,3.5,92.6
01/07/2019,07:00,4.3,85.4
01/07/2019,08:00,4.6,82.9
01/07/2019,09:00,6.6,74.7
01/07/2019,10:00,8.5,72.1
01/07/2019,11:00,11.5,59.7
01/07/2019,12:00,14.3,53.1
01/07/2019,13:00,,
01/07/2019,14:00,,
01/07/2019,15:00,,
01/07/2019,16:00,14.6,56.4
01/07/2019,17:00,12.8,71.4
01/07/2019,18:00,10.2,81.1
01/07/2019,19:00,8.3,89.6
01/07/2019,20:00,7.7,91.2
01/07/2019,21:00,7.4,91.5
01/07/2019,22:00,7.3,92
01/07/2019,23:00,6.6,93
01/07/2019,24:00,5.6,95.5
