year,Passenger Vehicles,Off-road Vehicles,People movers ,Small Buses ,Mobile Homes ,Motor cycles ,Scooters ,Light Trucks ,Light Plants ,Light Trailers,Other Vehicles,Buses ,Heavy Trucks ,Prime Movers ,Heavy Plants ,Heavy Trailers
unknown,16,0,0,0,0,4,0,1,1,181,0,0,2,0,0,14
1949,2027,4,0,1,1,123,0,691,5,154,3,2,12,0,3,1
1950,140,2,0,0,0,19,0,31,0,57,0,0,3,0,0,2
1951,147,3,0,0,0,18,0,39,0,10,0,0,0,0,0,0
1952,114,0,0,0,0,12,0,52,0,19,0,0,6,0,0,1
1953,158,2,0,0,0,12,1,75,0,17,0,0,2,0,0,0
1954,261,2,1,1,0,20,0,98,0,30,0,1,1,0,0,0
1955,328,3,3,0,0,16,1,110,1,45,0,0,1,0,0,3
1956,347,3,5,1,0,22,2,125,4,48,0,0,6,0,0,1
1957,483,1,12,3,0,19,4,55,3,55,0,1,0,0,0,0
1958,349,3,8,1,2,18,0,89,0,73,1,0,3,0,0,1
1959,464,0,8,2,0,16,2,84,0,73,2,0,2,1,1,1
1960,470,3,5,1,0,25,2,69,3,371,1,1,5,0,0,7
1961,391,2,13,0,2,19,10,73,1,46,0,0,4,0,0,1
1962,618,10,13,0,0,22,14,93,4,123,0,0,11,0,0,6
1963,826,5,19,1,0,28,41,104,2,115,1,0,19,0,0,3
1964,1452,7,14,3,1,20,26,203,8,227,2,0,20,2,0,7
1965,1373,4,16,1,1,37,24,136,3,524,0,1,22,0,2,18
1966,1533,3,11,1,0,50,42,138,1,236,0,1,44,2,1,12
1967,1586,13,31,1,1,57,17,177,1,263,2,1,41,0,1,18
1968,1599,12,9,2,1,69,10,136,4,611,0,0,68,2,3,41
1969,1784,12,16,1,4,109,10,144,6,496,1,0,64,3,1,25
1970,2313,16,12,1,6,103,1,229,5,3536,0,1,73,4,7,144
1971,2487,18,20,7,5,147,5,306,2,771,3,1,51,3,11,49
1972,1704,25,29,6,12,220,7,313,3,3284,1,1,56,2,9,101
1973,1765,45,42,8,27,180,6,273,7,4475,1,0,92,7,13,61
1974,1994,63,83,22,36,232,12,450,5,5631,0,0,155,5,14,116
1975,1462,54,92,29,46,233,9,449,6,9172,1,0,151,11,7,198
1976,1661,68,103,34,71,242,5,525,1,7270,0,1,275,17,13,158
1977,1657,86,55,21,41,191,7,551,4,6926,0,3,257,13,11,137
1978,1684,113,16,6,30,274,5,636,3,9744,1,15,310,29,20,270
1979,1355,121,23,12,24,235,6,632,9,9283,0,8,400,33,10,267
1980,957,156,3,4,19,479,4,626,11,21509,0,9,483,42,25,611
1981,997,214,2,8,51,550,11,871,9,9416,0,3,617,42,22,268
1982,1131,252,7,25,55,433,4,878,9,11396,1,3,574,36,23,333
1983,1116,252,6,31,62,361,9,818,5,9063,0,7,539,34,31,254
1984,1671,536,10,66,117,408,13,1597,30,12292,1,21,949,78,22,454
1985,2110,844,22,94,113,512,10,2074,22,22428,1,15,1505,103,39,637
1986,1830,494,10,68,121,394,11,1339,6,14705,1,38,1143,85,33,476
1987,1950,427,6,51,77,449,8,1092,17,16533,4,31,976,57,23,443
1988,2729,1025,18,70,102,735,6,2811,29,57951,9,76,1561,118,40,700
1989,4246,1563,87,139,104,535,12,4384,29,7034,4,58,1740,156,50,488
1990,5833,1919,84,200,63,715,10,5328,22,8011,6,60,1495,115,46,393
1991,5933,2141,93,253,63,834,25,4974,26,8358,11,74,1010,52,30,259
1992,6948,4319,204,223,51,909,2,4655,12,8186,5,134,1326,94,36,320
1993,8773,6068,360,245,41,1067,1,3346,21,9806,2,199,1222,174,40,491
1994,12600,7516,458,267,45,1410,2,4298,32,11223,4,266,1630,295,53,752
1995,16067,7847,372,307,43,1973,1,4911,39,11877,1,279,1511,266,51,772
1996,19734,8667,472,317,54,2111,29,5699,30,11933,4,271,1461,262,70,774
1997,28048,12608,573,424,56,2307,34,7031,36,13199,2,352,1682,328,80,819
1998,41599,19159,938,503,110,2952,61,9410,37,14906,0,492,2311,418,73,1049
1999,47710,22676,1094,519,177,3274,100,12279,46,17735,8,444,2353,392,65,980
2000,61682,25110,1851,576,368,3369,125,12692,32,19473,1,416,2298,352,52,1003
2001,65795,27025,1885,415,468,3859,222,13743,36,20814,4,438,2162,341,70,1071
2002,79463,33922,2283,549,738,4247,232,17403,40,24039,2,284,3057,507,90,1361
2003,102364,40428,2432,753,1060,4786,412,21196,19,25648,1,325,2953,691,69,1513
2004,107598,49104,3041,646,1186,5343,411,24295,32,28393,1,330,4293,874,147,1863
2005,124125,52271,3854,883,1052,6998,902,24364,37,28110,4,433,4154,967,130,1890
2006,130719,50762,4385,924,820,8598,1447,22679,37,27363,0,478,4511,916,125,1728
2007,145616,61909,4670,879,827,10983,1144,24617,38,29117,2,726,5989,1604,150,2078
2008,144189,63729,3164,1260,691,12458,1193,30145,56,28470,5,723,4167,785,191,2461
2009,133921,65880,3132,675,471,10079,789,28992,39,28388,3,896,3981,641,126,1636
2010,150461,81664,3149,714,646,10922,965,34289,53,31350,1,879,4775,1291,145,1629
2011,147653,80333,2786,906,459,10724,956,33816,53,32396,3,675,2893,736,134,1801
2012,168409,89667,3387,626,448,13351,766,42705,69,32117,3,664,3758,1182,205,1944
2013,175445,99867,2701,574,416,14186,664,43961,43,32698,8,578,3685,1301,146,2243
2014,171349,97801,3265,748,402,15119,640,45235,38,34129,16,612,3935,1296,157,2178
2015,190897,109349,2955,798,450,17156,396,55341,57,36787,3,608,4333,1212,99,1853
2016,203173,109545,2684,827,477,19340,391,59663,50,38487,5,657,4722,1203,127,2278
2017,206685,103774,2223,836,532,17795,395,64738,29,40188,8,728,5314,1539,179,3024
2018,175068,97454,1966,832,508,13245,427,58577,9,37975,3,752,4954,1652,82,2958
