did,tname,colname,coltype,aggtype,intervalaggtype
24296,MISYS,density,6,0,2
24296,MISYS,flow,6,0,2
24296,MISYS,input_flow,6,0,2
24296,MISYS,input_count,6,0,1
24296,MISYS,ttime,6,0,3
24296,MISYS,dtime,6,0,3
24296,MISYS,wtimeVQ,6,0,3
24296,MISYS,speed,6,0,3
24296,MISYS,spdh,6,0,3
24296,MISYS,travel,6,0,1
24296,MISYS,traveltime,6,0,1
24296,MISYS,vWait,6,0,5
24296,MISYS,vIn,6,0,5
24296,MISYS,vOut,6,0,1
24296,MISYS,totalDistanceTraveledInside,6,0,5
24296,MISYS,totalTravelTimeInside,6,1,5
24296,MISYS,totalWaitingTime,6,0,5
24296,MISYS,vLostIn,6,0,5
24296,MISYS,vLostOut,6,0,1
24296,MISYS,qmean,6,0,2
24296,MISYS,qvmean,6,0,2
24296,MISYS,qvmax,6,0,4
24296,MISYS,missedTurnings,2,0,1
24296,MISYS,lane_changes,2,0,1
24296,MISYS,total_lane_changes,2,0,1
24296,MISYS,stime,6,0,3
24296,MISYS,nstops,6,0,3
24296,MISYS,totalNStops,6,0,1
24296,MISUBPATH,count,6,0,2
24296,MISUBPATH,flow,6,0,2
24296,MISUBPATH,speed,6,0,3
24296,MISUBPATH,spdh,6,0,3
24296,MISUBPATH,ttime,6,0,3
24296,MISUBPATH,dtime,6,0,3
24296,MISUBPATH,wtimeVQ,6,0,3
24296,MISUBPATH,travel,6,0,1
24296,MISUBPATH,traveltime,6,0,1
24296,MISUBPATH,stime,6,0,3
24296,MISUBPATH,nstops,6,0,3
