did,oid,eid,sid,ent,count,count_D,flow,flow_D,speed,speed_D,spdh,spdh_D,ttime,ttime_D,dtime,dtime_D,wtimeVQ,wtimeVQ_D,travel,travel_D,traveltime,traveltime_D,stime,stime_D,nstops,nstops_D
24296,20361,,0,1,4.0,-1.0,16.0,-1.0,31.8843451861377,2.1114935681936,31.7842750417463,1.78343965213429,16.718290846136,1.05719789899319,5.07721848047569,0.649662759413989,0.0,0.0,0.590420838312773,-1.0,66.8731633845441,-1.0,0.0,0.0,0.0,-1.0
24296,23447,,0,1,7.0,-1.0,28.0,-1.0,44.5987255351897,3.69679829500628,44.3444331900239,3.35804257134114,17.5564534514112,1.41259019059072,3.11716928462693,1.04852111316194,0.0,0.0,1.51381023330808,-1.0,122.895174159878,-1.0,0.0,0.0,0.0,-1.0
24296,23448,,0,1,10.0,-1.0,40.0,-1.0,38.9866939696625,7.14659383465304,37.8979488615756,6.42348864944649,12.8900804851547,2.21133131495619,3.46965528851205,1.84210477721439,0.0,0.0,1.35696558624441,-1.0,128.900804851547,-1.0,0.479999999999999,1.07991769233688,0.2,-1.0
24296,23449,,0,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23450,,0,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23451,,0,1,17.0,-1.0,68.0,-1.0,35.8712539784213,2.55668176080499,35.7073824585103,2.41897148299023,14.8957788061795,1.01639595390395,4.76862159327053,0.864757218843619,0.0,0.0,2.51169933456767,-1.0,253.228239705052,-1.0,0.0,0.0,0.0,-1.0
24296,23452,,0,1,7.0,-1.0,28.0,-1.0,40.2057892470202,3.00241200752199,40.0058309179583,2.82833857645942,17.6560367378725,1.37420089182174,3.59351131524569,0.979171179159883,0.0,0.0,1.37344748414336,-1.0,123.592257165107,-1.0,0.0,0.0,0.0,-1.0
24296,23453,,0,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23454,,0,1,7.0,-1.0,28.0,-1.0,41.1312858920763,5.83449363307715,40.382748060479,5.49800097009196,19.2780659729564,2.91481947452397,4.5137799767726,2.22636768504075,0.0,0.0,1.5137524913762,-1.0,134.946461810695,-1.0,0.0,0.0,0.0,-1.0
24296,23455,,0,1,2.0,-1.0,8.0,-1.0,36.4644457238663,2.04577914071815,36.4070581479753,1.44544554115051,11.3810879549376,0.638517653969166,3.40682504012304,0.551703687880617,0.0,0.0,0.230195517201465,-1.0,22.7621759098753,-1.0,0.0,0.0,0.0,-1.0
