did,oid,ent,sectionId,laneIndex,xCoord,yCoord,timeSta,speed,travelledDistance,acceleration
24296,1,1,9450,1,307275.75,6189215.58,23400.4,51.04,5.88,0
24296,1,2,9450,1,307285.95,6189220.53,23400.8,51.04,17.22,0
24296,1,3,9450,1,307296.16,6189225.48,23401.6,51.04,28.56,0
24296,1,4,9450,1,307306.36,6189230.42,23402.4,51.04,39.9,0
24296,1,5,11049,0,307316.5,6189235.51,23403.2,51.04,51.24,0
24296,1,6,11388,0,307324.77,6189242.39,23404,51.04,62.58,0
24296,1,7,9348,1,307322.14,6189252.69,23404.8,45.2,73.28,-2.03
24296,1,8,9348,1,307318.77,6189262.66,23405.6,47.35,83.8,0.75
24296,1,9,9348,1,307315.3,6189272.92,23406.4,48.74,94.63,0.48
24296,1,10,9348,1,307311.77,6189283.36,23407.2,49.62,105.66,0.3
24296,1,11,9348,1,307308.16,6189293.91,23408,50.16,116.8,0.19
24296,1,12,9348,1,307304.48,6189304.51,23408.8,50.5,128.03,0.12
24296,1,13,9348,1,307300.64,6189315.11,23409.6,50.71,139.3,0.07
24296,1,14,9348,1,307296.58,6189325.65,23410.4,50.84,150.59,0.04
24296,1,15,9348,1,307292.34,6189336.14,23411.2,50.92,161.91,0.03
24296,1,16,11414,0,307287.57,6189346.39,23412,50.96,173.23,0.02
24296,1,1,9450,1,307275.75,6189215.58,23400.4,51.04,5.88,0
24296,1,2,9450,1,307285.95,6189220.53,23400.8,51.04,17.22,0
24296,1,3,9450,1,307296.16,6189225.48,23401.6,51.04,28.56,0
24296,1,4,9450,1,307306.36,6189230.42,23402.4,51.04,39.9,0
24296,1,5,11049,0,307316.5,6189235.51,23403.2,51.04,51.24,0
24296,1,6,11388,0,307324.77,6189242.39,23404,51.04,62.58,0
24296,1,7,9348,1,307322.14,6189252.69,23404.8,45.2,73.28,-2.03
24296,1,8,9348,1,307318.77,6189262.66,23405.6,47.35,83.8,0.75
24296,1,9,9348,1,307315.3,6189272.92,23406.4,48.74,94.63,0.48
24296,1,10,9348,1,307311.77,6189283.36,23407.2,49.62,105.66,0.3
24296,1,11,9348,1,307308.16,6189293.91,23408,50.16,116.8,0.19
24296,1,12,9348,1,307304.48,6189304.51,23408.8,50.5,128.03,0.12
24296,1,13,9348,1,307300.64,6189315.11,23409.6,50.71,139.3,0.07
24296,1,14,9348,1,307296.58,6189325.65,23410.4,50.84,150.59,0.04
24296,1,15,9348,1,307292.34,6189336.14,23411.2,50.92,161.91,0.03
24296,1,16,11414,0,307287.57,6189346.39,23412,50.96,173.23,0.02
24296,1,17,11414,0,307281.45,6189355.92,23412.8,50.99,184.56,0.01
24296,1,18,9408,1,307276.19,6189365.96,23413.6,51.01,195.9,0.01
24296,1,19,9408,1,307270.92,6189376,23414.4,51.02,207.24,0
24296,1,20,9408,1,307265.65,6189386.04,23415.2,51.03,218.58,0
24296,1,21,9408,1,307260.32,6189396.05,23416,51.03,229.92,0
24296,1,22,9408,1,307254.88,6189406,23416.8,51.03,241.26,0
24296,1,23,9408,1,307249.62,6189415.31,23417.6,45.2,251.95,-2.03
24296,1,24,9408,1,307244.96,6189423.47,23418.4,39.36,261.35,-2.03
24296,1,25,9408,1,307240.92,6189430.49,23419.2,33.52,269.44,-2.03
24296,1,26,11360,0,307236.31,6189436.18,23420,33.37,276.88,-0.05
24296,1,27,11360,0,307229.16,6189437.36,23420.8,33.37,284.29,0
24296,1,28,9163,1,307222.16,6189434.92,23421.6,33.37,291.71,0
24296,1,29,9163,1,307214.05,6189431.9,23422.4,38.98,300.37,1.95
24296,1,30,9163,1,307204.91,6189429.07,23423.2,43.11,309.95,1.43
24296,1,31,9163,1,307195.02,6189426.53,23424,45.96,320.16,0.99
24296,1,32,9163,1,307184.86,6189423.43,23424.8,47.85,330.8,0.65
24296,1,33,9163,2,307175.62,6189416.62,23425.6,49.05,341.7,0.42
24296,1,34,9163,2,307165.98,6189412.83,23426.4,44.21,352.06,-1.68
24296,1,35,9163,2,307157.9,6189409.62,23427.2,34.05,360.76,-3.53
24296,1,36,9163,2,307151.88,6189407.2,23428,24.32,367.24,-3.38
24296,1,37,9163,2,307147.8,6189405.55,23428.8,15.3,371.64,-3.13
24296,1,38,9163,2,307145.44,6189404.6,23429.6,7.57,374.18,-2.68
24296,1,39,9163,2,307144.43,6189404.19,23430.4,2.24,375.27,-1.85
24296,1,40,9163,2,307144.18,6189404.09,23431.2,0.21,375.55,-0.7
24296,1,41,9163,2,307144.15,6189404.08,23432,0,375.57,-0.07
24296,1,42,9163,2,307144.15,6189404.08,23432.8,0,375.57,0
24296,1,43,9163,2,307144.15,6189404.08,23433.6,0,375.57,0
24296,1,44,9163,2,307144.15,6189404.08,23434.4,0,375.57,0
24296,1,45,9163,2,307144.15,6189404.08,23435.2,0,375.57,0
24296,1,46,9163,2,307144.15,6189404.08,23436,0,375.57,0
24296,1,47,9163,2,307144.15,6189404.08,23436.8,0,375.57,0
24296,1,48,9163,2,307144.15,6189404.08,23437.6,0,375.57,0
24296,1,49,9163,2,307144.15,6189404.08,23438.4,0,375.57,0
24296,1,50,9163,2,307144.15,6189404.08,23439.2,0,375.57,0
24296,1,51,9163,2,307144.15,6189404.08,23440,0,375.57,0
24296,1,52,9163,2,307144.15,6189404.08,23440.8,0,375.57,0
24296,1,53,9163,2,307144.15,6189404.08,23441.6,0,375.57,0
24296,1,54,9163,2,307144.15,6189404.08,23442.4,0,375.57,0
24296,1,55,9163,2,307144.15,6189404.08,23443.2,0,375.57,0
24296,1,56,9163,2,307144.15,6189404.08,23444,0,375.57,0
24296,1,57,9163,2,307144.15,6189404.08,23444.8,0,375.57,0
24296,1,58,9163,2,307144.15,6189404.08,23445.6,0,375.57,0
24296,1,59,9163,2,307144.15,6189404.08,23446.4,0,375.57,0
24296,1,60,9163,2,307144.15,6189404.08,23447.2,0,375.57,0
24296,1,61,9163,2,307144.15,6189404.08,23448,0,375.57,0
24296,1,62,9163,2,307144.15,6189404.08,23448.8,0,375.57,0
24296,1,63,9163,2,307144.15,6189404.08,23449.6,0,375.57,0
24296,1,64,9163,2,307144.15,6189404.08,23450.4,0,375.57,0
24296,1,65,9163,2,307144.15,6189404.08,23451.2,0,375.57,0
24296,1,66,9163,2,307144.15,6189404.08,23452,0,375.57,0
24296,1,67,9163,2,307144.15,6189404.08,23452.8,0,375.57,0
24296,1,68,9163,2,307144.15,6189404.08,23453.6,0,375.57,0
24296,1,69,9163,2,307144.15,6189404.08,23454.4,0,375.57,0
24296,1,70,9163,2,307144.15,6189404.08,23455.2,0,375.57,0
24296,1,71,9163,2,307144.15,6189404.08,23456,0,375.57,0
24296,1,72,9163,2,307144.15,6189404.08,23456.8,0,375.57,0
24296,1,73,9163,2,307144.15,6189404.08,23457.6,0,375.57,0
24296,1,74,9163,2,307144.15,6189404.08,23458.4,0,375.57,0
24296,1,75,9163,2,307144.15,6189404.08,23459.2,0,375.57,0
24296,1,76,9163,2,307144.15,6189404.08,23460,0,375.57,0
24296,1,77,9163,2,307144.15,6189404.08,23460.8,0,375.57,0
24296,1,78,9163,2,307144.15,6189404.08,23461.6,0,375.57,0
24296,1,79,9163,2,307144.15,6189404.08,23462.4,0,375.57,0
24296,1,80,9163,2,307144.15,6189404.08,23463.2,0,375.57,0
24296,1,81,9163,2,307144.15,6189404.08,23464,0,375.57,0
24296,1,82,9163,2,307144.15,6189404.08,23464.8,0,375.57,0
24296,1,83,9163,2,307144.15,6189404.08,23465.6,0,375.57,0
24296,1,84,9163,2,307144.15,6189404.08,23466.4,0,375.57,0
24296,1,85,9163,2,307144.15,6189404.08,23467.2,0,375.57,0
24296,1,86,9163,2,307144.15,6189404.08,23468,0,375.57,0
24296,1,87,9163,2,307144.15,6189404.08,23468.8,0,375.57,0
24296,1,88,9163,2,307144.15,6189404.08,23469.6,0,375.57,0
24296,1,89,9163,2,307144.15,6189404.08,23470.4,0,375.57,0
24296,1,90,9163,2,307144.15,6189404.08,23471.2,0,375.57,0
24296,1,91,9163,2,307144.15,6189404.08,23472,0,375.57,0
24296,1,92,9163,2,307144.15,6189404.08,23472.8,0,375.57,0
24296,1,93,9163,2,307144.15,6189404.08,23473.6,0,375.57,0
24296,1,94,9163,2,307144.15,6189404.08,23474.4,0,375.57,0
24296,1,95,9163,2,307144.15,6189404.08,23475.2,0,375.57,0
24296,1,96,9163,2,307144.15,6189404.08,23476,0,375.57,0
24296,1,97,9163,2,307144.15,6189404.08,23476.8,0,375.57,0
24296,1,98,9163,2,307144.15,6189404.08,23477.6,0,375.57,0
24296,1,99,9163,2,307144.15,6189404.08,23478.4,0,375.57,0
24296,1,100,9163,2,307144.15,6189404.08,23479.2,0,375.57,0
24296,1,101,9163,2,307144.15,6189404.08,23480,0,375.57,0
24296,1,102,9163,2,307144.15,6189404.08,23480.8,0,375.57,0
24296,1,103,9163,2,307144.15,6189404.08,23481.6,0,375.57,0
24296,1,104,9163,2,307144.15,6189404.08,23482.4,0,375.57,0
24296,1,105,9163,2,307144.15,6189404.08,23483.2,0,375.57,0
24296,1,106,9163,2,307144.15,6189404.08,23484,0,375.57,0
24296,1,107,9163,2,307144.15,6189404.08,23484.8,0,375.57,0
24296,1,108,9163,2,307144.15,6189404.08,23485.6,0,375.57,0
24296,1,109,9163,2,307144.15,6189404.08,23486.4,0,375.57,0
24296,1,110,9163,2,307144.15,6189404.08,23487.2,0,375.57,0
24296,1,111,9163,2,307144.15,6189404.08,23488,0,375.57,0
24296,1,112,9163,2,307144.15,6189404.08,23488.8,0,375.57,0
24296,1,113,9163,2,307143.51,6189403.83,23489.6,3.11,376.26,1.08
24296,1,114,11361,0,307141.68,6189403.11,23490.4,8.83,378.23,1.99
24296,1,115,11361,0,307138.29,6189401.81,23491.2,16.36,381.86,2.61
24296,1,116,11361,0,307133.48,6189399.46,23492,24.11,387.22,2.69
24296,1,117,11361,0,307129.21,6189394.36,23492.8,30.64,394.03,2.27
24296,1,118,10319,1,307128.03,6189386.59,23493.6,35.35,401.88,1.63
24296,1,119,10319,1,307126.76,6189377.39,23494.4,41.81,411.17,2.24
24296,1,120,10319,1,307125.33,6189367.03,23495.2,47.06,421.63,1.82
24296,1,121,10319,1,307123.77,6189355.78,23496,51.12,432.99,1.41
24296,1,122,10319,1,307122.12,6189343.86,23496.8,54.14,445.02,1.05
24296,1,123,10319,1,307120.41,6189331.46,23497.6,56.32,457.54,0.76
24296,1,124,10319,1,307118.56,6189318.74,23498.4,57.86,470.39,0.53
24296,1,125,10319,1,307116.63,6189305.79,23499.2,58.93,483.49,0.37
24296,1,126,10319,1,307114.68,6189292.67,23500,59.67,496.75,0.26
24296,1,127,10319,1,307112.71,6189279.45,23500.8,60.18,510.12,0.18
24296,1,128,10319,1,307110.73,6189266.14,23501.6,60.52,523.57,0.12
24296,1,129,10319,1,307108.85,6189253.48,23502.4,54.68,536.37,-2.03
24296,1,130,10319,1,307107.16,6189242.11,23503.2,48.84,547.87,-2.03
24296,1,131,10319,1,307105.66,6189232.01,23504,43.01,558.08,-2.03
24296,1,132,10319,1,307104.27,6189222.69,23504.8,41.84,567.51,-0.41
24296,1,133,11342,0,307100.75,6189214.26,23505.6,41.84,576.8,0
24296,1,134,11342,0,307092.86,6189209.62,23506.4,41.84,586.1,0
24296,1,135,10699,1,307083.64,6189209.58,23507.2,41.84,595.4,0
24296,1,136,10699,1,307073.72,6189211.04,23508,45.1,605.42,1.13
24296,1,137,10699,1,307063.33,6189212.56,23508.8,47.28,615.92,0.76
24296,1,138,10699,1,307052.62,6189214.12,23509.6,48.69,626.75,0.49
24296,1,139,10699,1,307041.71,6189215.69,23510.4,49.59,637.76,0.31
24296,1,140,10699,1,307030.68,6189217.29,23511.2,50.15,648.91,0.19
24296,1,141,10699,1,307019.58,6189218.89,23512,50.49,660.13,0.12
24296,1,142,10699,1,307008.43,6189220.5,23512.8,50.7,671.4,0.07
24296,1,143,10699,1,306997.25,6189222.12,23513.6,50.83,682.69,0.05
24296,1,144,11362,0,306986.02,6189223.51,23514.4,50.91,694.01,0.03
24296,1,145,10374,1,306974.8,6189225.02,23515.2,50.96,705.33,0.02
24296,1,146,10374,1,306963.59,6189226.71,23516,50.99,716.66,0.01
24296,1,147,10374,1,306952.38,6189228.4,23516.8,51.01,728,0.01
24296,1,148,10374,1,306941.17,6189230.09,23517.6,51.02,739.34,0
24296,1,149,10374,1,306929.96,6189231.77,23518.4,51.03,750.68,0
24296,1,150,10374,1,306919.38,6189233.37,23519.2,45.19,761.37,-2.03
24296,1,151,10374,1,306910.1,6189234.76,23520,39.35,770.76,-2.03
24296,1,152,10374,1,306902.11,6189236.09,23520.8,33.51,778.86,-2.03
24296,1,153,10374,1,306895.11,6189236.64,23521.6,29.79,785.89,-1.29
24296,1,154,24316,0,306888.5,6189236.47,23522.4,29.79,792.51,0
24296,1,155,24316,0,306883.26,6189232.78,23523.2,29.79,799.13,0
24296,1,156,10372,1,306880.76,6189226.66,23524,29.79,805.75,0
24296,1,157,10372,1,306878.75,6189218.89,23524.8,36.18,813.79,2.22
24296,1,158,10372,1,306877.33,6189209.87,23525.6,41.09,822.92,1.7
24296,1,159,10372,1,306875.99,6189200.05,23526.4,44.58,832.83,1.21
24296,1,160,10372,1,306874.63,6189189.71,23527.2,46.94,843.26,0.82
