did,oid,sid,origin,destination,entranceSection,generationTime,entranceTime,exitTime,expectedTravelTime,delayTime,travelledDistance,pathType
24296,1,53,7903,7918,0,0.385572,23400.4,23557.8,0.0,75.416,1158.74,
24296,2,53,7862,7942,0,0.610457,23400.6,23736.3,0.0,139.817,4150.99,
24296,3,53,7863,8001,0,1.05278,23401.1,23549.2,0.0,43.1394,1553.09,
24296,4,56,7919,7867,0,1.54243,23401.5,23814.9,0.0,258.111,2536.3,
24296,5,53,7862,7934,0,2.59036,23402.6,23590.8,0.0,21.6667,3522.04,
24296,6,53,7892,7859,0,2.76881,23402.8,23645.2,0.0,118.928,2081.51,
24296,7,53,7942,7862,0,3.15785,23403.2,23706.9,0.0,106.951,4060.19,
24296,8,53,7867,7955,0,4.64694,23404.6,23465.0,0.0,4.14849,1102.52,
24296,9,53,7859,7992,0,5.82264,23405.8,23654.5,0.0,107.87,2469.3,
24296,10,53,8014,7862,0,6.60678,23406.6,23509.9,0.0,3.49682,2099.45,
24296,11,53,7859,7871,0,8.00394,23408.0,23447.0,0.0,4.24053,692.678,
24296,12,53,7862,7878,0,8.17578,23408.2,23719.6,0.0,75.2974,4725.48,
24296,13,53,7862,8018,0,9.04344,23409.0,23480.1,0.0,2.45862,1362.09,
24296,14,53,7859,7867,0,9.20252,23409.2,23705.5,0.0,34.1983,3857.15,
24296,15,53,7939,7867,0,9.57697,23409.6,23935.6,0.0,300.467,3338.92,
24296,16,53,7862,8005,0,10.8584,23410.9,23515.6,0.0,9.85917,1994.79,
24296,17,53,8021,7980,0,11.1036,23411.1,23539.8,0.0,8.17068,1666.71,
24296,18,53,7863,8002,0,11.1786,23411.2,23571.7,0.0,31.9506,1689.16,
24296,19,53,7862,7984,0,11.5545,23411.6,23573.3,0.0,5.55825,2868.74,
24296,20,53,7859,7883,0,11.6865,23411.7,23484.7,0.0,4.30282,1160.99,
24296,21,53,7859,7978,0,12.0315,23412.0,23628.9,0.0,71.6272,2515.56,
