vehID,linkID,timeOnLink,oid,sid
1,9450,2,1,53
1,11049,0.8,1,53
1,11388,0.8,1,53
1,9348,6.4,1,53
1,11414,0.8,1,53
1,9408,5.6,1,53
1,11360,0.8,1,53
1,9163,68,1,53
1,11361,2.4,1,53
1,10319,11.2,1,53
1,11342,0.8,1,53
1,10699,6.4,1,53
1,11362,0.8,1,53
1,10374,6.4,1,53
1,24316,0.8,1,53
1,10372,4,1,53
1,10800,0.8,1,53
1,8126,1.6,1,53
1,10799,0.8,1,53
1,8431,4.8,1,53
1,23768,4.8,1,53
1,19792,0.8,1,53
1,9066,4.8,1,53
1,10795,0.8,1,53
1,8121,5,1,53
10000,9450,25.8,1,56
10000,11049,0.8,1,56
10000,11388,0.8,1,56
10000,9348,0.8,1,56
10000,11414,4,1,56
10000,9408,0.8,1,56
10000,11360,0.8,1,56
10000,9163,0.8,1,56
10000,11361,0.8,1,56
10000,10319,16.8,1,56
10000,11342,4.8,1,56
10000,10699,0.8,1,56
10000,11362,6.4,1,56
10000,10374,0.8,1,56
10000,24316,3.2,1,56
10000,10372,0.8,1,56
10000,10800,3.2,1,56
10000,8126,0.8,1,56
10000,10799,3.2,1,56
10000,8431,0.8,1,56
10000,23768,4.8,1,56
10000,19792,0.8,1,56
10000,9066,4.8,1,56
10000,10795,0.8,1,56
10000,8121,5,1,56
2,10292,25.8,2,53
2,11759,0.8,2,53
2,10131,0.8,2,53
2,11256,0.8,2,53
2,8733,4,2,53
2,11756,0.8,2,53
2,10128,0.8,2,53
2,11835,0.8,2,53
2,10283,0.8,2,53
2,10136,16.8,2,53
2,10138,4.8,2,53
2,12061,0.8,2,53
2,10736,6.4,2,53
2,18184,0.8,2,53
2,10142,3.2,2,53
2,11295,0.8,2,53
2,9132,3.2,2,53
2,11301,0.8,2,53
2,9146,3.2,2,53
2,11216,0.8,2,53
2,8930,9.6,2,53
2,11177,0.8,2,53
2,9173,9.6,2,53
2,11336,0.8,2,53
2,9169,6.4,2,53
2,11321,0.8,2,53
2,8823,4,2,53
2,10917,0.8,2,53
2,8786,4,2,53
2,11239,0.8,2,53
2,9004,1.6,2,53
2,10759,0.8,2,53
2,8058,0.8,2,53
2,10761,0.8,2,53
2,8065,29.6,2,53
